NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
1,6.66089999999997,23461.62109375,3.64
5,5.667399999999816,23461.953125,2.73
10,5.32549999999992,23462.42578125,3.5
50,4.138700000000426,23464.59765625,3.98
75,3.9668000000001484,23473.9375,2.67
100,3.8047000000005937,23473.73046875,2.84
200,4.251699999998891,23457.875,4.02
300,3.186099999998987,23451.58203125,1.95
400,2.7406000000009954,23438.7421875,3.09
500,2.8773999999975786,23445.99609375,2.69
600,2.673500000000786,23441.03515625,4.2
700,2.586800000000949,23419.98828125,4.25
800,2.3258999999998196,23411.890625,3.4
900,2.4046000000016647,23405.37109375,3.39
1000,2.113600000000588,23394.25390625,2.11
2000,1.9248999999981606,23300.30859375,7.14
3000,1.8927999999941676,23285.66796875,3.54
4000,1.7843999999968219,23165.765625,3.12
5000,1.736400000001595,23126.11328125,3.42
6000,1.8384000000005472,23138.43359375,2.12
7000,1.6232999999992899,23132.62109375,4.96
8000,1.6820999999981723,23135.04296875,2.99
9000,1.6828000000023167,23134.87890625,5.46
10000,1.7195000000065193,23125.12109375,3.25
11000,1.8105000000068685,23149.80078125,1.94
12000,1.6505999999935739,23145.7734375,5.94
13000,1.7238999999972293,23143.9453125,4.19
14000,1.6148000000102911,23121.94921875,3.83
15000,1.6912000000011176,23142.20703125,2.3
