NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
1,9.783200000000079,23462.08203125,2.92
5,8.028699999999844,23462.8203125,2.15
10,6.043999999999869,23462.625,1.72
50,6.08600000000024,23473.6875,3.95
75,6.16780000000108,23473.75,3.07
100,6.043700000000172,23474.98046875,4.88
200,5.399400000000242,23453.66796875,3.47
300,6.244599999998172,23447.91796875,4.75
400,5.170599999997648,23443.95703125,4.65
500,7.2982000000010885,23443.7109375,4.03
600,5.176599999998871,23441.62109375,2.22
700,4.8289999999979045,23422.04296875,3.19
800,5.347099999999045,23420.06640625,2.53
900,4.5525999999990745,23402.78515625,4.23
1000,5.529199999997218,23393.08984375,4.14
2000,8.612600000000384,23297.82421875,9.01
3000,5.241200000004028,23281.609375,5.37
4000,4.753399999994144,23166.04296875,3.19
5000,4.166299999997136,23164.75390625,2.01
6000,6.51759999999922,23140.20703125,1.85
7000,6.328600000000733,23137.4921875,5.64
8000,5.100200000000768,23135.2890625,2.2
9000,5.191700000003038,23157.26953125,4.48
10000,4.400800000003073,23127.88671875,3.65
11000,4.864000000001397,23149.17578125,2.6
12000,6.367799999992712,23146.59375,2.03
13000,7.004999999990105,23125.55859375,3.03
14000,3.905400000003283,23121.65234375,3.36
15000,10.457399999999325,23141.8671875,4.32
