NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
15000,21.542199999996228,23116.26171875,8.84
14000,9.301999999996042,23139.69140625,1.62
13000,8.78629999999248,23100.28515625,3.37
12000,8.33860000000277,23083.296875,10.22
11000,7.641900000002352,23085.859375,3.75
10000,6.973700000002282,23091.3203125,3.54
9000,6.3125,23089.8359375,4.86
8000,5.669499999989057,23091.2109375,4.63
7000,5.270599999988917,23089.51953125,2.33
6000,3.915800000017043,23091.1484375,4.7
5000,3.430099999997765,23085.94921875,4.47
4000,3.1147000000055414,23087.82421875,2.6
3000,2.932199999981094,23089.66015625,4.3
2000,2.625399999989895,23089.24609375,2.68
1000,1.9978999999875668,23089.87109375,4.72
900,1.8773999999975786,23090.11328125,8.22
800,1.9102999999886379,23091.07421875,3.94
700,1.9862999999895692,23088.35546875,4.05
600,1.863099999987753,23089.046875,4.83
500,1.846799999999348,23091.62109375,2.63
400,1.8250000000116415,23092.47265625,3.36
300,1.8576999999932013,23094.66796875,2.04
200,1.8575000000128057,23091.828125,1.73
100,1.7377000000269618,23091.453125,2.62
75,1.6873999999952503,23092.32421875,4.58
50,1.7182000000029802,23092.421875,3.17
10,1.6634999999951106,23094.10546875,2.45
5,1.9676000000035856,23095.53125,7.07
1,2.089299999992363,23095.0390625,1.55
