NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
1,5.525699999999972,19238.6328125,2.98
5,5.529300000000148,19232.078125,6.98
10,4.284499999999753,19233.953125,6.64
50,3.699999999999818,19235.53515625,6.31
75,4.335399999999936,19244.94921875,11.57
100,3.6376000000000204,19245.13671875,9.7
200,3.9707000000016706,19223.2421875,2.46
300,2.6805999999996857,19233.34375,14.21
400,2.450699999997596,19225.203125,3.96
500,2.8048999999991793,19215.77734375,5.08
600,3.419099999999162,19199.328125,4.87
700,2.528999999998632,19193.80078125,5.04
800,2.6525000000001455,19191.734375,11.7
900,2.783800000001065,19149.76171875,10.66
1000,2.2995000000009895,19095.0234375,4.67
2000,2.1163999999989755,18995.8515625,6.64
3000,1.8862000000008265,18976.87890625,8.14
4000,1.756100000005972,18882.15234375,3.08
5000,1.6890999999959604,18875.75390625,6.19
6000,1.6635000000023865,18875.71484375,3.37
7000,1.9302999999999884,18837.85546875,3.71
8000,1.6057999999975436,18823.59765625,5.66
9000,1.5947000000014668,18862.6015625,6.61
10000,1.8846000000048662,18850.2578125,8.81
11000,1.5724000000045635,18873.140625,6.2
12000,1.5057999999989988,18872.00390625,8.31
13000,1.6016000000090571,18868.16015625,5.99
14000,1.5608000000065658,18872.1953125,4.5
15000,1.6554999999934807,18868.6171875,2.71
