NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
15000,10.567199999990407,23075.91796875,6.61
14000,8.982799999997951,23064.375,7.6
13000,8.555300000007264,23069.54296875,5.24
12000,8.22099999996135,23061.4453125,2.23
11000,7.09409999998752,23059.51953125,1.92
10000,6.876499999954831,23048.671875,6.38
9000,6.066899999976158,23075.73046875,6.12
8000,5.401299999968614,23052.39453125,1.83
7000,4.7079999999841675,23053.58203125,3.97
6000,3.988199999963399,23050.73046875,3.45
5000,4.116199999989476,23048.6875,6.59
4000,3.121500000008382,23064.3125,4.51
3000,2.5709999999962747,23065.671875,6.76
2000,2.357799999997951,23064.40234375,1.93
1000,1.9989000000059605,23066.921875,3.94
900,2.0385999999707565,23068.2734375,2.64
800,1.9871000000275671,23065.2578125,3.52
700,1.8329999999841675,23066.3125,3.01
600,1.8386999999638647,23067.390625,4.47
500,1.9041999999899417,23067.9296875,2.81
400,1.758399999991525,23068.80859375,4.15
300,1.7681999999913387,23068.05859375,3.36
200,1.7415000000037253,23067.796875,3.73
100,1.6099999999860302,23070.0546875,2.92
75,1.6766000000061467,23071.44140625,2.2
50,1.6687999999849126,23072.22265625,2.84
10,1.816800000029616,23071.3828125,1.65
5,1.76400000002468,23071.9921875,2.04
1,1.7933000000193715,23073.72265625,3.38
