NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
1,3.4838000000163447,23100.2265625,9.3
5,2.733600000006845,23094.1796875,10.41
10,3.0169999999925494,23097.2109375,9.33
50,3.2480999999970663,23101.0078125,2.9
75,3.7625000000116415,23103.28125,2.12
100,3.092399999994086,23104.5234375,3.64
200,3.9169000000110827,23103.390625,4.69
300,4.068599999998696,23099.828125,3.65
400,3.4328000000095926,23088.4296875,3.25
500,4.283300000010058,23091.3359375,3.17
600,4.214500000001863,23092.421875,7.72
700,3.9398000000219326,23094.24609375,3.09
800,3.649100000009639,23093.56640625,3.51
900,3.965200000006007,23093.08203125,4.21
1000,4.0217999999877065,23095.703125,2.11
2000,3.7166999999899417,23094.33984375,3.47
3000,4.14890000000014,23096,5.14
4000,4.721000000019558,23095.91796875,3.08
5000,5.4603000000061,23094.1484375,3.75
6000,5.339600000006612,23090.3828125,2.6
7000,3.0179000000061933,23090.12890625,7.84
8000,5.325199999992037,23089.5,4.44
9000,5.423200000019278,23087.50390625,3.47
10000,5.146999999997206,23083.93359375,3.54
11000,4.20230000000447,23084.3828125,2.13
12000,6.3491000000503846,23084.921875,4.26
13000,3.727000000013504,23082.6484375,4.73
14000,5.303200000023935,23084.4140625,2.22
15000,3.96740000002319,23083,6.71
