NumberOfObjects,TransactionTime(ms),MemoryUse(mb),CpuUse
0,4.383200000000102,18908.16,9.41

1,3.8934999999999036,18901.91,8.16

2,3.813800000000356,18904.44,14.68

3,3.9798000000000684,18907.91,12.93

4,4.020400000000336,18910.65,12.6

5,3.5313999999998487,18898.02,10.67

6,3.979400000000169,18898.11,9.57

7,3.524800000000141,18906.4,10.32

8,4.5173999999988155,18914.65,17.9

9,4.653800000000047,18922.67,11.54

10,3.8220000000001164,18921.81,10.56

11,3.6015000000006694,18925.1,10.43

12,3.8799999999991996,18926.7,12.22

13,3.5288000000000466,18934.5,15.1

14,3.729400000000169,18935.15,8.92

15,3.608699999998862,18928.42,8.03

16,3.5002999999996973,18932.07,12.02

17,4.383700000002136,18932.05,10.04

18,3.690599999998085,18932.53,6.72

19,3.6445999999996275,18933.07,11.14

20,3.4847000000008848,18932.9,5.92

21,3.780000000002474,18933.51,5.29

22,3.7708999999995285,18934.28,6.69

23,3.683899999999994,18934.99,2.43

24,3.721300000001065,18935.36,3.87

25,4.014499999997497,18934.52,3.35

26,3.922600000001694,18938.99,6.43

27,3.5584000000017113,18946.18,7.7

28,4.066100000000006,18945.79,5.61

29,3.5151000000005297,18946.41,6.02

30,3.7642000000014377,18946.89,4.84

31,4.029500000000553,18985.07,10.11

32,3.3374999999941792,19005.52,10.59

33,4.204499999999825,19003.03,16.19

34,3.39089999999851,18994.28,14.23

35,3.664100000001781,18983.83,16.73

36,3.6491000000023632,18974.86,15.18

37,9.513400000003458,18956.7,21.59

38,3.969199999999546,18948.83,13.57

39,3.7466999999960535,18941.17,21.95

40,3.848100000002887,18922.91,16.89

41,3.286999999996624,18944.46,18.31

42,3.2634000000034575,18942.45,8.16

43,3.663200000002689,18940.77,2.49

44,3.820800000001327,18938.1,7.41

45,3.6968999999953667,18937.88,3.47

46,3.2145999999993364,18937.66,6.51

47,3.5486000000018976,18938.7,6.29

48,3.4822999999960302,18939.24,9.94

49,3.708100000003469,18939.13,5.36

50,3.256099999998696,18938.86,2.77

51,4.264999999999418,18941,1.43

52,3.9874999999956344,18944.04,8.01

53,3.5777999999991152,18944.31,4

54,4.252099999997881,18944.14,3.7

55,3.5002000000022235,18944.19,6.28

56,3.8139999999984866,18944.58,7.99

57,3.7387999999991735,18944.36,2.5

58,3.7255000000004657,18944.26,2.83

59,3.8950999999942724,18945.1,4.57

60,3.853499999997439,18944.41,2.13

61,3.651499999999942,18944.5,4.33

62,3.881200000003446,18944.62,4.71

63,3.5591999999960535,18945.2,2.68

64,3.9517999999952735,18945.63,8.38

65,3.9892000000108965,18945.14,6.32

66,4.361700000008568,18946.33,4.17

67,3.35120000000461,18945.67,3.63

68,4.407200000001467,18945.61,5.85

69,3.2106000000057975,18945.81,4.71

70,3.7383000000118045,18945.67,4.4

71,3.2109999999956926,18945.96,9.83

72,4.151299999997718,18937.88,6.89

73,3.7804999999934807,18940.27,2.72

74,3.833200000008219,18941.78,3.65

75,4.116600000008475,18942.71,3.32

76,3.7615000000078,18947.74,3.93

77,3.9923000000126194,18948.77,2.5

78,3.5336000000097556,18950.79,5.45

79,3.875899999999092,18950.29,8.26

80,3.7446000000054482,18950.57,2.78

81,3.8369999999995343,18951.18,4.01

82,3.8928000000014435,18950.98,8.09

83,3.483699999997043,18943.51,10.07

84,3.7713000000076136,18934.98,2.72

85,4.156600000002072,18934.7,3.92

86,3.9481999999989057,18963.48,2.07

87,4.2937999999994645,18962.36,8.55

88,4.091100000005099,18972.74,3.2

89,4.557999999989988,18973.15,4.5

90,3.669500000003609,18974.11,11.1

91,3.9783000000024913,18973.45,5.05

92,3.2494000000006054,18975.09,3.45

93,3.802400000000489,18974.86,11.63

94,3.671300000001793,18952.9,11.61

95,4.146699999997509,18942.39,10.07

96,3.6687000000092667,18909.88,5.85

97,3.3399999999965075,18916.31,4.69

98,4.137000000002445,18916.23,8.29

99,3.2854999999981374,18917.13,9.14

100,3.7586000000010245,18919.43,5.03
